Episode,Step,Balance,Num_Trades,Realized_PnL,Green_Up_PnL,Commission_Paid,Commission_Rate,No_Trade_Streak,No_Trade_Penalty,Had_Trades,Max_Drawdown,MTM_Reward,Sharpe_Reward,Depth_Violations,Volatility_Violations,Stale_Market_Violations,Suspended_Violations,Back_Trades,Lay_Trades,Back_Exposure,Lay_Exposure,Mid_Race_PnL
35,18675,969.8176,15,-30.182373,-30.182373,0.009437891,0.05,0,0.0,True,3.0182374,-0.029481215,-0.19011504694819456,24,92,3071,1,0,15,0.0,1062.1611,0.0
36,19183,967.83307,21,-32.16693,-32.16693,0.09270093,0.05,0,0.0,True,3.2166932,-0.17858548,-0.20171078324317931,31,84,4131,1,5,16,30.735428,1011.2697,0.0
37,19836,868.33856,71,-131.66144,-131.66144,0.3507391,0.05,0,0.0,True,13.166144,-0.39110678,-0.38626662034645626,49,125,1555,1,37,34,152.01016,1142.9696,-10.381512
38,20358,1001.0024,24,1.0023804,1.0023804,0.46016026,0.05,0,0.0,True,-0.10023804,-0.01368469,-0.35583934515714644,42,33,234,0,4,20,11.354974,1026.9921,-0.33470482
39,20883,949.16437,365,-50.835632,-50.835632,0.17223343,0.05,0,0.0,True,5.0835633,-0.09317926,-0.5261908726394174,22,88,235,1,232,133,485.74246,855.55835,-2.0253572
40,21429,975.93976,12,-24.060242,-24.060242,0.0,0.05,0,0.0,True,2.4060242,-0.29848856,-0.18302693068981168,18,168,2648,0,2,10,23.998663,983.16296,0.0
41,21990,1009.33673,11,9.336731,9.336731,0.58229303,0.05,0,0.0,True,-0.93367314,-0.03748067,-0.16490021996200085,16,129,1705,0,0,11,0.0,1107.9027,0.0
42,22187,998.4822690792666,12,-1.5177309207333565,-1.5177309207333565,0.11412180920306397,0.05,0,0.0,True,0.15177309207333564,-0.008727921827136434,-0.13639970156501235,8,12,141,1,1,11,9.6,1027.2,0.0
43,23373,987.42114,67,-12.578857,-12.578857,0.0,0.05,0,0.0,True,1.2578857,-0.060905308,-0.4181311485505451,112,2,7480,1,10,57,22.27511,1249.9154,-2.9873195
44,23915,991.37506,39,-8.624939,-8.624939,0.18428993,0.05,0,0.0,True,0.86249393,-0.046768937,-0.2839786335576317,22,147,1095,1,26,13,24.763584,977.73395,0.0
45,24428,963.51733,331,-36.482666,-36.482666,1.2545933,0.05,0,0.0,True,3.6482666,-0.17395201,-0.8778229487687351,31,179,839,1,209,122,356.3646,809.2723,-2.2460501
46,24974,904.1283,97,-95.871704,-95.871704,0.038084988,0.05,0,0.0,True,9.587171,-0.38562608,-0.5330333043634891,38,186,823,0,45,52,268.78882,1476.2869,-21.209131
47,25499,997.74164,13,-2.2583618,-2.2583618,0.19260246,0.05,0,0.0,True,0.22583617,-0.04724339,-0.24800387956234277,59,36,668,1,1,12,29.94898,998.4165,0.0
48,26028,871.29297,142,-128.70703,-128.70703,0.6935341,0.05,0,0.0,True,12.870704,-0.84404004,-0.5383363023400307,47,123,2097,0,98,44,320.94586,837.27856,-9.711926
49,26550,949.49866,70,-50.501343,-50.501343,0.02191517,0.05,0,0.0,True,5.050134,-0.084377185,-0.3798775044828653,50,211,188,0,19,51,184.72255,2119.8855,-5.5684714
50,27099,867.9402,113,-132.05981,-132.05981,0.5777036,0.05,0,0.0,True,13.205981,-0.7349868,-0.5517230655997991,125,68,3174,0,55,58,191.63979,1658.541,-69.33119
51,27636,994.7043,19,-5.2957153,-5.2957153,0.11803854,0.05,0,0.0,True,0.52957153,-0.079042844,-0.21740028016269208,41,142,1292,0,0,19,0.0,1010.2637,0.0
52,28304,1007.6751,16,7.67511,7.67511,0.5529397,0.05,0,0.0,True,-0.767511,-0.015158485,-0.19079224570117168,17,232,722,1,4,12,15.504578,1009.1520000000003,0.0
53,28834,915.31067,30,-84.68933,-84.68933,0.012569993,0.05,0,0.0,True,8.468933,-0.058165327,-0.2737983597815037,10,6,516,0,6,24,68.04957,967.3569,-0.92648184
54,29371,939.4622,12,-60.53778,-60.53778,0.0,0.05,0,0.0,True,6.053778,-0.14241377,-0.13758647573151817,21,198,2212,1,1,11,9.6,1019.14026,0.0
55,29931,992.5168,84,-7.4832153,-7.4832153,0.06091524,0.05,0,0.0,True,0.74832153,-0.04443161,-0.674546869160183,148,28,665,1,15,69,92.01626,1456.3661,-5.0844097
56,30497,994.75037,13,-5.249634,-5.249634,0.0,0.05,0,0.0,True,0.5249634,-0.052607197,-0.15931936793029317,8,48,2194,0,0,13,0.0,1006.76337,0.0
57,31098,998.3615,11,-1.6384888,-1.6384888,0.0014608712,0.05,0,0.0,True,0.16384888,-0.0241726,-0.17158113287018378,13,107,2368,0,0,11,0.0,1047.0054,0.0
58,31619,991.41016,76,-8.589844,-8.589844,0.6065498,0.05,0,0.0,True,0.85898435,-0.046769325,-0.3750210376828908,32,24,0,1,34,42,339.50757,1651.3108,-2.4804933
59,32136,982.6481,131,-17.351929,-17.351929,0.15650892,0.05,0,0.0,True,1.7351929,-0.0981042,-0.4538311133533718,24,85,941,0,36,95,94.59381,1357.3018,-3.9222312
60,32263,976.26746,155,-23.732544,-23.732544,0.010514653,0.05,0,0.0,True,2.3732545,-0.12084506,-0.6034166160757193,396,11,261,1,70,85,386.87283,1878.8177,-9.187123
61,32803,1001.0247,42,1.0247192,1.0247192,1.7444458,0.05,0,0.0,True,-0.004768291,-0.11864494,-0.2961362468106978,126,114,2,0,27,15,695.3964,969.7262,0.51045567
62,33334,1012.3708,265,12.370789,12.370789,2.5913594,0.05,0,0.0,True,-1.2370789,-0.14400539,-0.8353141770511863,78,97,425,0,127,138,266.3078,1829.9185,-7.4478254
63,33878,910.9312,30,-89.06879,-89.06879,0.007007944,0.05,0,0.0,True,8.906878,-0.20225744,-0.28154342755675316,33,63,315,1,8,22,20.818836,1009.0662,-1.2197461
64,34444,987.3905,18,-12.609497,-12.609497,0.14279139,0.05,0,0.0,True,1.2609496,-0.012840223,-0.21983509190380582,18,43,0,0,3,15,57.31418,1108.9286,-0.25201505
65,36271,567.67194,377,-432.32806,-432.32806,0.013587566,0.05,0,0.0,True,43.232807,-2.8146996,-1.1197561975568555,34,150,15904,0,249,128,959.48236,1410.8965,-47.784706
66,36872,948.4855,30,-51.514526,-51.514526,0.9831608,0.05,0,0.0,True,5.1514525,-0.4639391,-0.2468121627718209,10,64,3385,1,10,20,114.42471,1009.545,-2.6958578
67,37387,613.4359,249,-386.5641,-386.5641,0.12162858,0.05,0,0.0,True,38.656406,-3.157131,-0.7564778929948804,62,137,2060,1,146,103,905.54706,1518.2703,-49.59261
68,37921,992.79376,518,-7.206238,-7.206238,8.7375,0.05,0,0.0,True,0.7206238,-0.41961032,-1.2125756929069753,224,183,342,0,341,177,1149.1285,1618.4275,-16.275751
69,38445,1015.99225,17,15.992249,15.992249,0.88471377,0.05,0,0.0,True,-1.5992248,-0.021447157,-0.2356116991090755,103,67,271,1,0,17,0.0,1002.05786,0.0
70,40805,973.71246,30,-26.287537,-26.287537,0.7484002,0.05,0,0.0,True,2.6287537,-0.050799966,-0.25043404743075365,50,87,12295,1,5,25,39.65887,1025.9564,-1.154056
71,42213,914.68115,234,-85.31885,-85.31885,1.9457256,0.05,0,0.0,True,8.531885,-1.6461056,-0.49835071928799163,17,89,8785,0,161,73,500.3413,897.34076,-22.64822
72,42735,1011.01184,48,11.011841,11.011841,1.7227956,0.05,0,0.0,True,-1.1011841,-0.09019896,-0.2636968093783907,131,157,518,1,13,35,147.73216,2553.8518,-4.287015
73,43298,988.62164,52,-11.378357,-11.378357,0.5698339,0.05,0,0.0,True,1.1378357,-0.0764865,-0.6079216431887402,295,117,434,0,18,34,61.561592,1069.1151,-6.7802978
74,43843,925.221,231,-74.77899,-74.77899,5.3106165,0.05,0,0.0,True,7.477899,-0.7011822,-0.8436045183986424,114,94,612,0,77,154,247.43716,1705.54,-24.523502
75,44363,927.64874,371,-72.35126,-72.35126,0.19201283,0.05,0,0.0,True,7.2351255,-0.30472705,-1.2528345520794393,109,94,502,1,177,194,467.48785,2510.534,-28.843824
76,44951,978.12085,70,-21.87915,-21.87915,0.0,0.05,0,0.0,True,2.1879148,-0.17006516,-0.4535608126968146,46,99,569,0,16,54,54.301228,1269.634,-13.466087
77,47772,935.71875,18,-64.28125,-64.28125,0.06403842,0.05,0,0.0,True,6.428125,-0.19098979,-0.21408285513520245,18,64,14989,0,5,13,23.888752,983.8134,0.0
78,48052,989.2477,35,-10.752319,-10.752319,0.17666984,0.05,0,0.0,True,1.0752319,-0.040240005,-0.2868300852924585,19,95,187,1,8,27,37.02843,1091.8379,-0.9779086
79,48637,947.29095,223,-52.709045,-52.709045,0.6536701,0.05,0,0.0,True,5.2709045,-0.13964684,-0.6814236168563363,68,199,451,1,104,119,323.70163,1299.0803,-6.69508
80,49185,1009.4988,14,9.498779,9.498779,0.5496081,0.05,0,0.0,True,-0.949878,-0.023686351,-0.20118166185915473,13,107,409,0,0,14,0.0,1001.697,0.0
81,49757,1001.0033,137,1.0032959,1.0032959,1.1076742,0.05,0,0.0,True,-0.100329585,-0.10767827,-0.45395249716937525,21,28,769,1,54,83,164.09326,1060.1721,-1.8868418
82,50288,286.69208,642,-713.3079,-713.3079,0.08543305,0.05,0,0.0,True,71.330795,-1.9544957,-1.6041784661263223,21,140,2335,0,318,324,999.0202,1923.8588,-74.40758
83,50829,991.2966,35,-8.70343,-8.70343,0.33376595,0.05,0,0.0,True,0.870343,-0.021825125,-0.2062238416075707,13,94,874,0,10,25,52.3851,1070.2793,-1.139593
84,51344,985.2786,19,-14.7213745,-14.7213745,0.04459256,0.05,0,0.0,True,1.4721375,-0.07711332,-0.14212575304234717,27,301,80,1,5,14,169.55379,867.81146,-0.3617276
85,51872,1022.1805221749069,6,22.180522174906855,22.180522174906855,1.5191115736663703,0.05,0,0.0,True,-2.2180522174906856,-0.1921691284596843,-0.11657646030491185,10,105,2174,0,0,6,0.0,1152.0,0.0
86,52394,965.5337,16,-34.46631,-34.46631,0.0,0.05,0,0.0,True,3.4466307,-0.06868218,-0.23965523342166076,39,96,1195,1,3,13,87.37637,918.5565,0.0
87,52954,959.31885,227,-40.681152,-40.681152,1.4570233,0.05,0,0.0,True,4.068115,-0.28933942,-0.7432313378155231,74,90,1739,0,95,132,241.98546,969.01965,-1.8589966
88,53467,948.99744,34,-51.002563,-51.002563,0.0,0.05,0,0.0,True,5.100256,-0.4691346,-0.17285080932080749,36,83,4309,1,13,21,99.29581,1419.1538,-19.115662
89,53999,893.4021,280,-106.5979,-106.5979,0.043268565,0.05,0,0.0,True,10.65979,-0.29774493,-0.6371087568212117,62,37,1247,1,124,156,804.26624,1135.263,-13.288232
90,54524,810.34265,361,-189.65735,-189.65735,0.25268784,0.05,0,0.0,True,18.965734,-2.2523053,-1.0242255042493376,13,161,3031,1,242,119,611.5146,597.65955,-18.354036
91,55059,995.61035,15,-4.3896484,-4.3896484,0.14588055,0.05,0,0.0,True,0.43896484,-0.04819499,-0.20291535951197148,28,72,669,0,4,11,12.96838,989.73334,0.0
92,55599,976.5317,331,-23.468323,-23.468323,1.884274,0.05,0,0.0,True,2.3468323,-0.26574904,-0.8487677533179522,44,66,764,0,139,192,344.82333,1213.7175,-4.9359975
93,55600,1000.0,0,0.0,0.0,0.0,0.05,1,-0.5,False,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0
94,56125,1009.8095,16,9.809509,9.809509,0.8947449,0.05,0,0.0,True,-0.9809509,-0.036903474,-0.2746561411023141,32,32,589,1,0,16,0.0,1027.7064,0.0
95,56766,975.76855,113,-24.231445,-24.231445,0.000332229,0.05,0,0.0,True,2.4231446,-0.06058682,-0.4492528221809927,81,63,145,1,44,69,43.37013,1522.3425,-2.1854508
96,57284,887.7801,302,-112.21991,-112.21991,0.37922677,0.05,0,0.0,True,11.221991,-0.36476353,-0.794997265338899,55,150,2256,1,186,116,282.80853,1589.3374,-10.995727
97,57785,1000.13904,18,0.13903809,0.13903809,0.39756772,0.05,0,0.0,True,-0.01390381,-0.022197422,-0.21387679859995837,26,61,200,1,3,15,16.503798,1231.0054,-1.0974756
98,58274,990.3965,20,-9.603516,-9.603516,0.040811,0.05,0,0.0,True,0.9603515,-0.026888698,-0.14368765704333786,16,89,4036,1,1,19,2.400595,1130.0364,0.0
99,58787,927.43317,46,-72.56683,-72.56683,0.0,0.05,0,0.0,True,7.256684,-0.10186995,-0.37858633669732983,92,137,1159,0,15,31,93.70171,1177.0697,-6.851378
100,59392,998.9041340523283,6,-1.0958659476716548,-1.0958659476716548,0.44071370270224897,0.05,0,0.0,True,0.10958659476716548,-0.19337574381680067,-0.1134737133111486,5,167,2324,0,0,6,0.0,1440.0,0.0
101,59931,769.04517,81,-230.95483,-230.95483,0.145166,0.05,0,0.0,True,23.095484,-0.8396317,-0.36715562749044234,42,114,1735,0,43,38,403.53418,713.9969,-8.047447
102,60447,990.96765,41,-9.032349,-9.032349,0.7432741,0.05,0,0.0,True,0.90323484,-0.078637086,-0.21636806830763822,9,80,0,1,20,21,549.32886,586.0615,-0.92566204
103,60982,1017.00793,284,17.007935,17.007935,2.6198592,0.05,0,0.0,True,-1.7007934,-0.21332796,-0.6632268758118173,17,68,478,0,137,147,432.82285,810.95496,-0.9730193
104,61532,927.3912,188,-72.608826,-72.608826,0.17587033,0.05,0,0.0,True,7.260883,-0.09804098,-0.5438377291709183,37,95,653,0,111,77,233.87004,1161.3848,-5.118725
105,62098,992.4087,47,-7.5913086,-7.5913086,0.23488511,0.05,0,0.0,True,0.75913084,-0.072462894,-0.2490116883069277,54,138,495,1,11,36,42.413956,1221.0221,-1.5983858
106,62157,995.1386,8,-4.861389,-4.861389,0.054862663,0.05,0,0.0,True,0.48613894,-0.039837904,-0.06694517984986306,1,0,0,1,3,5,526.36694,1042.8064,0.0
107,62663,998.0584,110,-1.9415894,-1.9415894,1.1544195,0.05,0,0.0,True,0.19415894,-0.03231575,-0.49853211790323265,11,16,0,1,65,45,353.39355,669.6785,-0.11883575
108,63206,1003.8418413956281,14,3.84184139562808,3.84184139562808,0.22069755741241764,0.05,0,0.0,True,-0.384184139562808,-0.009562747044248917,-0.23305036632002807,16,152,0,0,3,11,4.193279999999886,996.97152,0.0
109,63752,986.9596,9,-13.040405,-13.040405,0.28129762,0.05,0,0.0,True,1.3040406,-0.263767,-0.16312532134354107,9,82,1876,0,0,9,0.0,1134.9547,0.0
110,64294,952.4893,11,-47.51068,-47.51068,0.0,0.05,0,0.0,True,4.751068,-0.13799448,-0.1261285241624521,5,98,1885,0,1,10,9.6,1014.02,0.0
111,64806,1056.8942,89,56.894165,56.894165,4.425555,0.05,0,0.0,True,-5.6894164,-0.29613528,-0.3584201097488404,28,260,959,0,37,52,134.33086,1324.7605,-6.6417446
112,65346,999.144,15,-0.85601807,-0.85601807,0.06123139528521627,0.05,0,0.0,True,0.08560181,-0.0039454107,-0.32029057156381796,48,19,222,0,1,14,9.841570752233428,997.627,0.0
113,65870,850.23267,420,-149.76733,-149.76733,1.9580313,0.05,0,0.0,True,14.976734,-0.6763914,-1.0868259065598243,83,135,845,1,278,142,689.6413,1069.2528,-5.8527436
114,66388,1034.9747,7,34.97473,34.97473,1.8709592,0.05,0,0.0,True,-3.4974732,-0.012784469,-0.14818682153777152,21,105,154,1,1,6,240.0,792.22815,0.0
115,66910,989.7953,36,-10.204712,-10.204712,0.15414216,0.05,0,0.0,True,1.0204712,-0.014289944,-0.2588521371781827,13,129,24,1,7,29,19.795609,1056.3761,-0.15943903
116,67441,957.32465,74,-42.675354,-42.675354,0.50572723,0.05,0,0.0,True,4.267535,-0.2042912,-0.44294890769742384,154,103,504,0,22,52,74.311905,1378.9675,-15.176901
117,67535,996.4451,24,-3.5548706,-3.5548706,0.07410157,0.05,0,0.0,True,0.35548705,-0.016651556,-0.2309491676092148,40,108,0,0,4,20,87.00156,1365.4747,-2.277073
118,68081,996.33484,7,-3.6651611,-3.6651611,0.010483598,0.05,0,0.0,True,0.3665161,-0.008974615,-0.1134737158566714,7,202,815,1,0,7,0.0,1230.2751,0.0
119,68608,567.97906,620,-432.02094,-432.02094,1.3657837,0.05,0,0.0,True,43.202095,-0.81504136,-1.3253581358492348,101,60,1224,0,355,265,754.97266,2197.1816,-40.77126
120,69157,946.75867,34,-53.241333,-53.241333,0.30074465,0.05,0,0.0,True,5.3241334,-0.4545496,-0.29457167893648145,29,68,1338,0,3,31,32.278423,1474.8405,-35.051334
121,69746,965.2005,64,-34.7995,-34.7995,0.2920084,0.05,0,0.0,True,3.4799502,-0.04583911,-0.39196371227502824,70,153,108,0,30,34,335.518,1092.095,-2.419669
122,70295,1050.2798,51,50.279785,50.279785,2.70172,0.05,0,0.0,True,-5.0279784,-0.025353923,-0.4893577437847849,541,81,786,0,6,45,9.2480135,1112.9052,-1.0528188
123,70814,993.5468,49,-6.453186,-6.453186,0.8949361,0.05,0,0.0,True,0.64531857,-0.04920089,-0.26435069158673286,10,35,223,1,13,36,154.49687,1763.9158,-3.8013003
124,71338,960.69324,36,-39.306763,-39.306763,0.0032289827,0.05,0,0.0,True,3.9306765,-0.28787467,-0.2281567531824112,84,104,4581,0,14,22,92.54673,1229.6671,-9.6037445
125,71827,995.5415419076378,16,-4.458458092362207,-4.458458092362207,0.0,0.05,0,0.0,True,0.44584580923622064,-0.12691022616775094,-0.25755192561704054,34,29,3385,1,3,13,12.642508799999987,1007.7259775999999,0.0
126,72358,924.8536,87,-75.14642,-75.14642,0.7539316,0.05,0,0.0,True,7.5146422,-0.29438797,-0.40188234530389305,29,200,167,1,37,50,199.98724,1071.756,-11.864141
127,72895,749.50836,101,-250.49164,-250.49164,0.21094143,0.05,0,0.0,True,25.049166,-0.99410707,-0.33386257424950605,7,143,1874,0,47,54,419.75278,922.10693,-7.5598907
128,73438,941.0,19,-59.0,-59.0,0.24233796,0.05,0,0.0,True,5.9,-0.22257832,-0.21995047773775556,26,149,1131,0,4,15,65.49541,1021.44666,-5.699418
129,75545,994.36475,20,-5.635254,-5.635254,0.023886295,0.05,0,0.0,True,0.56352544,-0.017068254,-0.22046209447085852,44,147,12650,1,1,19,21.206923,1232.793,-0.96395105
130,76055,1000.0,5,0.0,0.0,0.0,0.05,0,0.0,True,0.0,-0.04055738,-0.11347371101379394,8,18,5363,1,0,5,0.0,1028.0198,0.0
131,76602,1012.84686,30,12.846863,12.846863,1.0632224,0.05,0,0.0,True,-1.2846863,-0.07628891,-0.34721949324011797,50,119,1609,0,4,26,3.2280345,1494.9144,-2.1791353
132,77111,892.162,137,-107.83801,-107.83801,0.5735898,0.05,0,0.0,True,10.783801,-0.71546346,-0.40369414441287527,16,116,1587,0,47,90,140.60414,1322.9597,-19.214603
133,77699,889.3486,73,-110.65143,-110.65143,0.7557197,0.05,0,0.0,True,11.065143,-1.1204548,-0.37229133516550056,14,100,3619,1,34,39,359.863,805.482,-14.778036
134,78265,988.4482,46,-11.551819,-11.551819,0.013804207,0.05,0,0.0,True,1.1551819,-0.023198595,-0.41196275710851255,50,174,1052,0,17,29,66.47389,1195.3533,-1.4454134
135,78789,991.59076,10,-8.409241,-8.409241,0.32529983,0.05,0,0.0,True,0.840924,-0.022899278,-0.19609998337924484,20,22,980,0,0,10,0.0,1048.4253,0.0
136,79356,697.3933,400,-302.6067,-302.6067,2.1505084,0.05,0,0.0,True,30.26067,-2.2987273,-1.0681903117895124,97,118,1291,0,211,189,751.85236,1833.3667,-95.94281
137,79891,973.6694,37,-26.330627,-26.330627,0.31078583,0.05,0,0.0,True,2.6330628,-0.040199757,-0.4042985501885414,84,87,400,0,12,25,29.920036,1103.9038,-3.2070663
138,80159,956.57184,122,-43.42816,-43.42816,0.15923807,0.05,0,0.0,True,4.342816,-0.2155453,-0.48324118852615355,86,47,781,1,61,61,254.39113,1066.721,-4.4722123
139,82063,878.15656,234,-121.843445,-121.843445,0.16420735,0.05,0,0.0,True,12.184344,-0.39905208,-1.0774285437319995,226,57,5846,0,110,124,596.8673,3050.1182,-28.15667
140,82593,975.39795,67,-24.60205,-24.60205,0.37384948,0.05,0,0.0,True,2.460205,-0.1406717,-0.32967228002846244,33,87,2547,1,23,44,67.18318,1086.4159,-2.6478643
141,83171,1004.7066,74,4.706604,4.706604,1.3768243,0.05,0,0.0,True,-0.4706604,-0.09072233,-0.594483349951217,249,6,700,0,32,42,256.50583,1481.9185,-7.580411
142,85100,995.08984,69,-4.9101562,-4.9101562,0.24558407,0.05,0,0.0,True,0.4910156,-0.034680504,-0.5177051769978811,194,77,1556,1,30,39,62.26804,1048.2213,-1.2332064
143,85678,1007.26654,12,7.2665405,7.2665405,0.42867428,0.05,0,0.0,True,-0.72665405,-0.009310308,-0.19565124693890207,33,64,332,1,1,11,1.3642354,1022.1117,0.0
144,86265,1002.24585,115,2.2458496,2.2458496,1.4396884,0.05,0,0.0,True,-0.22458497,-0.108791605,-0.46520752817392363,107,210,864,1,33,82,160.9292,2344.3696,-9.718408
145,86845,1243.3911,633,243.39111,243.39111,23.534945,0.05,0,0.0,True,-24.339111,-0.4923463,-2.6468613361662157,76,18,0,0,247,386,435.09332,1759.4016,-68.53098
